%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle2;220;100;64498;220;100;64500;B115;PU
Vehicle2;220;100;64500;220;100;64502;B114;PU
Vehicle2;220;100;64502;220;100;64504;B113;PU
Vehicle2;220;100;64504;0;100;64726;B113;PL
Vehicle2;0;100;64726;220;100;64948;B112;PU
Vehicle1;500;100;64810;500;100;64812;B391;PU
Vehicle1;500;100;64812;500;100;64814;B390;PU
Vehicle1;500;100;64814;0;100;65316;B390;PL
Vehicle2;220;100;64948;220;100;64950;B111;PU
Vehicle2;220;100;64950;370;100;65102;B111;PL_RELOC
Vehicle2;370;100;65102;370;100;65104;B112;PL_RELOC
Vehicle2;370;100;65104;370;100;65106;B114;PL_RELOC
Vehicle2;370;100;65106;370;100;65108;B115;PL_RELOC
Vehicle2;370;100;65108;370;100;65110;B116;PL_RELOC
Vehicle2;370;100;65110;220;100;65262;B110;PU
Vehicle0;0;100;65210;1060;100;66272;B956;PU
Vehicle2;220;100;65262;0;100;65484;B110;PL
Vehicle1;0;100;65316;560;100;65878;B459;PU
Vehicle2;0;100;65484;340;100;65826;B239;PU
Vehicle2;340;100;65826;340;100;65828;B238;PU
Vehicle2;340;100;65828;340;100;65830;B237;PU
Vehicle2;340;100;65830;340;100;65832;B236;PU
Vehicle2;340;100;65832;340;100;65834;B235;PU
Vehicle2;340;100;65834;370;100;65866;B235;PL_RELOC
Vehicle2;370;100;65866;370;100;65868;B236;PL_RELOC
Vehicle2;370;100;65868;370;100;65870;B237;PL_RELOC
Vehicle2;370;100;65870;370;100;65872;B238;PL_RELOC
Vehicle2;370;100;65872;370;100;65874;B239;PL_RELOC
Vehicle2;370;100;65874;340;100;65906;B234;PU
Vehicle1;560;100;65878;730;100;66050;B459;PL_RELOC
Vehicle2;340;100;65906;340;100;65908;B233;PU
Vehicle2;340;100;65908;0;100;66250;B233;PL
Vehicle1;730;100;66050;730;100;66052;B391;PL_RELOC
Vehicle1;730;100;66052;730;100;66054;B392;PL_RELOC
Vehicle1;730;100;66054;730;100;66056;B394;PL_RELOC
Vehicle1;730;100;66056;730;100;66058;B395;PL_RELOC
Vehicle1;730;100;66058;560;100;66230;B458;PU
Vehicle1;560;100;66230;560;100;66232;B457;PU
Vehicle1;560;100;66232;560;100;66234;B456;PU
Vehicle1;560;100;66234;560;100;66236;B455;PU
Vehicle1;560;100;66236;560;100;66238;B454;PU
Vehicle1;560;100;66238;0;100;66800;B454;PL
Vehicle2;0;100;66250;340;100;66592;B232;PU
Vehicle0;1060;100;66272;840;100;66494;B956;PL_RELOC
Vehicle0;840;100;66494;840;100;66496;B958;PL_RELOC
Vehicle0;840;100;66496;840;100;66498;B959;PL_RELOC
Vehicle0;840;100;66498;840;100;66500;B744;PL_RELOC
Vehicle0;840;100;66500;840;100;66502;B745;PL_RELOC
Vehicle0;840;100;66502;1060;100;66724;B955;PU
Vehicle2;340;100;66592;0;100;66934;B232;PL
Vehicle0;1060;100;66724;1060;100;66726;B954;PU
Vehicle0;1060;100;66726;1060;100;66728;B953;PU
Vehicle0;1060;100;66728;1060;100;66730;B952;PU
Vehicle0;1060;100;66730;0;100;67792;B952;PL
Vehicle1;0;100;66800;560;100;67362;B453;PU
Vehicle2;0;100;66934;450;100;67386;B348;PU
Vehicle1;560;100;67362;730;100;67534;B453;PL_RELOC
Vehicle2;450;100;67386;450;100;67388;B347;PU
Vehicle2;450;100;67388;450;100;67390;B346;PU
Vehicle2;450;100;67390;450;100;67392;B345;PU
Vehicle2;450;100;67392;370;100;67474;B345;PL_RELOC
Vehicle2;370;100;67474;370;100;67476;B346;PL_RELOC
Vehicle2;370;100;67476;370;100;67478;B347;PL_RELOC
Vehicle2;370;100;67478;370;100;67480;B348;PL_RELOC
Vehicle2;370;100;67480;450;100;67562;B344;PU
Vehicle1;730;100;67534;730;100;67536;B455;PL_RELOC
Vehicle1;730;100;67536;730;100;67538;B456;PL_RELOC
Vehicle1;730;100;67538;730;100;67540;B457;PL_RELOC
Vehicle1;730;100;67540;730;100;67542;B458;PL_RELOC
Vehicle1;730;100;67542;560;100;67714;B452;PU
Vehicle2;450;100;67562;450;100;67564;B343;PU
Vehicle2;450;100;67564;0;100;68016;B343;PL
Vehicle1;560;100;67714;560;100;67716;B451;PU
Vehicle1;560;100;67716;0;100;68278;B451;PL
Vehicle0;0;100;67792;1060;100;68854;B951;PU
Vehicle2;0;100;68016;450;100;68468;B342;PU
Vehicle1;0;100;68278;610;100;68890;B508;PU
Vehicle2;450;100;68468;450;100;68470;B341;PU
Vehicle2;450;100;68470;450;100;68472;B340;PU
Vehicle2;450;100;68472;0;100;68924;B340;PL
Vehicle0;1060;100;68854;0;100;69916;B951;PL
Vehicle1;610;100;68890;610;100;68892;B507;PU
Vehicle1;610;100;68892;0;100;69504;B507;PL
Vehicle2;0;100;68924;520;100;69446;B419;PU
Vehicle2;520;100;69446;1030;100;69958;B419;PL_RELOC
Vehicle1;0;100;69504;610;100;70116;B506;PU
Vehicle0;0;100;69916;160;100;70078;B58;PU
Vehicle2;1030;100;69958;1030;100;69960;B341;PL_RELOC
Vehicle2;1030;100;69960;1030;100;69962;B342;PL_RELOC
Vehicle2;1030;100;69962;1030;100;69964;B344;PL_RELOC
Vehicle2;1030;100;69964;1030;100;69966;B234;PL_RELOC
Vehicle2;1030;100;69966;520;100;70478;B418;PU
Vehicle0;160;100;70078;160;100;70080;B57;PU
Vehicle0;160;100;70080;0;100;70242;B57;PL
Vehicle1;610;100;70116;610;100;70118;B505;PU
Vehicle1;610;100;70118;0;100;70730;B505;PL
Vehicle0;0;100;70242;160;100;70404;B56;PU
Vehicle0;160;100;70404;280;100;70526;B56;PL_RELOC
Vehicle2;520;100;70478;520;100;70480;B417;PU
Vehicle2;520;100;70480;520;100;70482;B416;PU
Vehicle2;520;100;70482;520;100;70484;B415;PU
Vehicle2;520;100;70484;520;100;70486;B414;PU
Vehicle2;520;100;70486;1030;100;70998;B414;PL_RELOC
Vehicle0;280;100;70526;280;100;70528;B58;PL_RELOC
Vehicle0;280;100;70528;280;100;70530;B953;PL_RELOC
Vehicle0;280;100;70530;280;100;70532;B954;PL_RELOC
Vehicle0;280;100;70532;280;100;70534;B955;PL_RELOC
Vehicle0;280;100;70534;160;100;70656;B55;PU
Vehicle0;160;100;70656;0;100;70818;B55;PL
Vehicle1;0;100;70730;660;100;71392;B557;PU
Vehicle0;0;100;70818;250;100;71070;B149;PU
Vehicle2;1030;100;70998;1030;100;71000;B415;PL_RELOC
Vehicle2;1030;100;71000;1030;100;71002;B416;PL_RELOC
